date,month,income,day
12,5,52.944757700000004,2023-05-12
13,5,-0.42696091999999997,2023-05-13
14,5,-0.8577369300000005,2023-05-14
15,5,-22.383538790000003,2023-05-15
16,5,-11.18555898,2023-05-16
17,5,-1.15049654,2023-05-17
18,5,-0.48490517,2023-05-18
19,5,-0.39792493,2023-05-19
20,5,-0.6893099699999999,2023-05-20
21,5,-0.0551991,2023-05-21
22,5,-0.02297758,2023-05-22
23,5,0.35317858999999996,2023-05-23
24,5,0.00089883,2023-05-24
25,5,0.31915861,2023-05-25
26,5,310.62288982999996,2023-05-26
27,5,-4.63731823,2023-05-27
