date,month,income,day
3,9,19.47186055,2022-09-03
4,9,-30.235432090000003,2022-09-04
15,9,-26.85754766,2022-09-15
16,9,-86.45566275,2022-09-16
19,9,5.68021387,2022-09-19
20,9,-17.35938572,2022-09-20
10,11,-48.313173060000004,2022-11-10
16,11,-6.452492,2022-11-16
17,11,-68.18105505,2022-11-17
18,11,-40.07610667,2022-11-18
19,11,-3.99208802,2022-11-19
20,11,7.54003241,2022-11-20
21,11,51.77207617999999,2022-11-21
22,11,20.77237026,2022-11-22
23,11,-3.9163519699999982,2022-11-23
24,11,57.34098999000001,2022-11-24
25,11,-23.342484080000002,2022-11-25
26,11,33.1577113,2022-11-26
27,11,-1.45458635,2022-11-27
28,11,-8.671445279999999,2022-11-28
29,11,-4.555799189999999,2022-11-29
30,11,26.20255711,2022-11-30
1,12,-12.615386619999999,2022-12-01
