date,month,income,day
6,3,11.701792659999999,2023-03-06
7,3,-2.62704352,2023-03-07
8,3,0.35017387,2023-03-08
9,3,7.051539200000001,2023-03-09
10,3,66.00723656999999,2023-03-10
11,3,-39.221890110000004,2023-03-11
12,3,1.009243740000002,2023-03-12
13,3,-82.24148419999999,2023-03-13
12,5,-0.0152423,2023-05-12
13,5,-0.42696091999999997,2023-05-13
14,5,-0.8577369300000005,2023-05-14
15,5,-22.38353879,2023-05-15
16,5,-11.18555898,2023-05-16
17,5,-1.15049654,2023-05-17
18,5,-0.48490517000000005,2023-05-18
19,5,-0.39792493,2023-05-19
20,5,-0.68930997,2023-05-20
21,5,-0.0551991,2023-05-21
22,5,-0.02297758,2023-05-22
23,5,0.35317859,2023-05-23
24,5,0.00089883,2023-05-24
25,5,0.31915861,2023-05-25
26,5,0.63288983,2023-05-26
27,5,-4.63731823,2023-05-27
